productName,brandName,productPrice,productDescription,productStock,productCategory,productSubCategory,coverImage,images,Color,Size,Materials,Sort,note,,,,,,,,,,,,
MUKU TV board,MUKU Kobo Original,"VND 26,395,900","A TV board that turns an inorganic TV into a calm atmosphere.

Since TVs have become thinner, large 50-inch screens are not uncommon. Even though the size of the living room has not changed much, the TV is getting bigger and often I feel pressured. It may be due to the TV board. A black board, similar to a TV, has a sense of unity in color, but the surrounding area is heavy. If it is such wood furniture, it will be very refreshing and bright image. This beautiful furniture that brings the breath of nature to life surrounded by digital is also proud of the rich lineup of our original brand """"MUKU series"""" which knows the workshops and craftsmen in Asahikawa.",20,Living Room,TV Stand,tv-board-t01.jpg,"tv-board-d01.jpg,tv-board-d02.jpg,tv-board-d05.jpg,tv-board-d06.jpg,tv-board-d07.jpg,tv-board-d09.jpg,tv-board-d10.jpg,tv-board-d11.jpg,tv-board-d12.jpg",Oak,Large,"Wood, Glass",,,,,,,,,,,,,,
Float TV board,Wakaba furniture,"VND 33,660,000","Round corner details with both accent and safety

A simple TV board made of neat and clean, straight lines only. However, only the corner part of the main body has been given a large roundness. This casual detail gives warmth to audio equipment that has a cold impression somewhere. Also, because the height is 42cm, it is just around the snare position, but even if you hit it by any chance, you won't be seriously hurt. This smart design combines accent and safety.",18,Living Room,TV Stand,tv-board1-t01.jpg,"tv-board1-d01.jpg, tv-board1-d02.jpg,tv-board1-d03.jpg,tv-board1-d05.jpg,tv-board1-d06.jpg,tv-board1-d07.jpg,tv-board1-d09.jpg,tv-board1-d11.jpg,tv-board1-d12.jpg,tv-board1-m02.jpg,tv-board1-m03.jpg,tv-board1-m04.jpg,tv-board1-m05.jpg",Walnut,Large,Wood,,,,,,,,,,,,,,
RAPT TVboard,shirakawa,"VND 54,527,500","Adult interior that supports quality life.

A sophisticated design with motifs of raptors such as eagles, hawks, and kites. The gentle curve is reminiscent of the beauty of the lone. And the four materials that inspire the design are Hard Maple, Walnut, Black Cherry, and the red oak. All of them are loved all over the world, precious wood, and are of the finest quality with both sturdiness and elegance. In addition, as the age goes by, the glaze becomes milder, and the smell of dirt and scratches becomes more and more tasty, and I become more and more attached.",18,Living Room,TV Stand,tv-board2-t01.jpg,"tv-board2-d01.jpg,tv-board2-d02.jpg,tv-board2-d03.jpg,tv-board2-d04.jpg,tv-board2-d05.jpg,tv-board2-d07.jpg,tv-board2-d11.jpg,tv-board2-d12.jpg,tv-board2-m02.jpg,tv-board2-m03.jpg,tv-board2-m04.jpg,tv-board2-m05.jpg",Oak,Large,Wood,,,,,,,,,,,,,,
JAM TV cabinet Low,MUKU Kobo Original,"VND 32,716,500","Select from 2 tree species of precious wood that perfectly matches the ambience of your room.

You can choose this TV board from 2 tree species:Hokkaido oak and Walnut. Precious wood, which is loved all over the world, is attractive for its heavy, tough, and beautiful grain. You can also enjoy the unique hues and aromas of natural trees. Urethane paint highlights the advantages of these trees. We applied it carefully so as not to damage the original hue or texture. I can't help but feel attached to the mellow gloss that deepens with each passing of years.",20,Living Room,TV Stand,tv-dai-low-t01.jpg,"tv-dai-low-d01.jpg,tv-dai-low-d02.jpg,tv-dai-low-d03.jpg,tv-dai-low-d04.jpg,tv-dai-low-d05.jpg,tv-dai-low-d08.jpg,tv-dai-low-d09.jpg,tv-dai-low-d11.jpg,tv-dai-low-d12.jpg,tv-dai-low-m02.jpg,tv-dai-low-m03.jpg,tv-dai-low-m04.jpg,tv-dai-low-m05.jpg",Oak,Large,"Wood, Glass",,,,,,,,,,,,,,
Wavelet combi tvboard,Wakaba furniture,"VND 61,710,000","Convenient slide style that fits perfectly with any living room

A TV board that brings out a superb presence in the living room. The only thing that bothers me most when I purchase is the size, and even if I like the design, it often doesn't fit in the room. I want to make effective use of the limited space, and in addition, I want to make the living room not narrow... This TV board easily clears such a difficult problem. You can slide it to change the width, so it fits perfectly in any space. That feeling can be said to be an appeal that no other product has.",17,Living Room,TV Stand,combi-tv-board-t01.jpg,"combi-tv-board-d01.jpg,combi-tv-board-d04.jpg,combi-tv-board-d05.jpg,combi-tv-board-d06.jpg,combi-tv-board-d08.jpg,combi-tv-board-d09.jpg,combi-tv-board-d11.jpg,combi-tv-board-d12.jpg,combi-tv-board-m03.jpg,combi-tv-board-m02.jpg,combi-tv-board-m04.jpg,combi-tv-board-m05.jpg",Walnut,Large,Wood,,,,,,,,,,,,,,
Forest words Sofa,HIDA,"VND 55,328,200","Long-established store in the Hida furniture production region, which has led the furniture industry

Two artisans came to Hida Takayama in 1920, and the technique of Western bending trees introduced them. After listening to the story, the volunteers invested in the company and founded Chuo woodworking Co., Ltd. (now Hida Sangyo Co., Ltd.), a Western furniture manufacturer, as a revolutionary venture company. When chairs were not yet popular in Japan, we went through a process of trial and error and completed a chair with Shunkei painting for two years. Since then, Hida Sangyo has been leading innovations in Japanese furniture, promoting modernization, and has also been involved in exports to the United States.",31,Living Room,Couch,sofa-t01.jpg,"sofa-d01.jpg,sofa-d02.jpg,sofa-d03.jpg,sofa-d04.jpg,sofa-d05.jpg,sofa-d06.jpg,sofa-d07.jpg,sofa-d08.jpg,sofa-d09.jpg,sofa-d10.jpg,sofa-d11.jpg,sofa-d12.jpg,sofa-m02.jpg,sofa-m03.jpg,sofa-m04.jpg,sofa-m05.jpg","Oak, Walnut",Large,"Wood, Hokkaido Leather",,,,,,,,,,,,,,
Hida takumi studio Wooden seat sofa,shirakawa,"VND 39,565,800","Stable legs also serve as a warp stop.

The legs are tough because it supports the body weight of the person who sits on top of the heavily weighted sofa. But you don't have to worry if you have this solid leg. Even large men can sit at ease. Warp can also occur after furniture is furnished due to the use of natural trees. This leg also plays an important role in stopping it. Please choose from two types of materials: Walnut where deep browns are chic, and Birch where pale colors give a sense of cleanliness",23,Living Room,Couch,itaza-sofa-t01.jpg,"itaza-sofa-d01.jpg,itaza-sofa-d02.jpg,itaza-sofa-d03.jpg,itaza-sofa-d04.jpg,itaza-sofa-d05.jpg,itaza-sofa-d06.jpg,itaza-sofa-d07.jpg,itaza-sofa-d11.jpg,itaza-sofa-d12.jpg,itaza-sofa-m02.jpg,itaza-sofa-m03.jpg,itaza-sofa-m04.jpg,itaza-sofa-m05.jpg","Birch, Walnut",Large,Wood,,,,,,,,,,,,,,
MT-01 Sofa,WOW,"VND 49,223,500","Luxuriously used solid wood satisfies the hearts

The wood is made of two types: ""oak"" where the clean colors brighten your room, and ""walnut"" where the deep brown is overflowing with a sense of gravity. Both are loved trees worldwide. All of that material (※) is finished with solid wood. The ""genuine"" material that brings out the texture of the fabric and creates an uncomfortable luxury feel is perfect for a living room that entertains customers."" I remember my attachment to the more mellow shine and depth the more I use it. ※ The backboard is not solid wood.",26,Living Room,Couch,01-sofa-t01.jpg,"01-sofa-d01.jpg,01-sofa-d02.jpg,01-sofa-d04.jpg,01-sofa-d06.jpg,01-sofa-d07.jpg,01-sofa-d08.jpg,01-sofa-d09.jpg,01-sofa-d11.jpg,01-sofa-d12.jpg,01-sofa-m02.jpg,01-sofa-m03.jpg,01-sofa-m04.jpg,01-sofa-m05.jpg",Walnut,Large,"Wood, Hokkaido Leather",,,,,,,,,,,,,,
Nagi Sofa,Fuji furniture,"VND 80,959,100","The temptation of a fluffy chair seat that makes everyone want to sit down

The fluffy texture of the sofa envelops your tired body and gives you a sense of security in every corner of your body. The fascinating form that is not captured in the frames of ""precious wood"" and ""old pavement"" will not be tired of after many years. Solid wood, a natural product, has two things that are not the same, so I'm looking forward to seeing the colors and patterns after they arrive. In addition, the luster of the wood increases over time and changes to a deep candy color, which is another attraction unique to natural wood.",30,Living Room,Couch,sofa1-t02.jpg,"sofa1-d01.jpg,sofa1-d02.jpg,sofa1-d03.jpg,sofa1-d04.jpg,sofa1-d05.jpg,sofa1-d06.jpg,sofa1-d08.jpg,sofa1-d09.jpg,sofa1-d10.jpg,sofa1-d11.jpg,sofa1-d12.jpg,sofa1-m01.jpg,sofa1-m02.jpg,sofa1-m03.jpg,sofa1-m04.jpg,sofa1-m05.jpg",Walnut,Large,"Wood, Hokkaido Leather",,,,,,,,,,,,,,
AM table 4 legs,shirakawa,"VND 54,767,200","Perfect AM table for modern Japanese decor, 4 legs

AM Table The four-legged table is designed to be beautiful from any angle. The table is designed with a special design. It is finished to match the modern natural interior of Japan. The design has a solid presence in the modern Japanese interior, while harmonizing and complementing other interiors such as dining chairs. The shades of red oak on Vermeer chairs and armchairs, as well as the darker colours of New Soft, are perfectly matched with the beauty of grain on AM table by walnut, so it is a recommended coordination. The four legs are placed on the corners of the table to create a design that is not only well designed but also functional. The wide and horizontal form of the table makes it convenient and easy to use as a dining table.",22,Dining Room,Table,4honashi-t01.jpg,"4honashi-d01.jpg,4honashi-d02.jpg,4honashi-d03.jpg,4honashi-d09.jpg,4honashi-d11.jpg,4honashi-d12.jpg,4honashi-m02.jpg,4honashi-m04.jpg","Oak, Walnut",Large,Wood,,,,,,,,,,,,,,
